rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.129344  22.0972   89912.2   799.697   82.3009   945.12    1129.24   12485.2   84.0208   
0.12193   308.948   97568.9   727.816   99.7393   920.323   1342.49   12172.3   81.0933   
0.127402  3759.61   110254    812.841   88.0221   961.134   1542.12   10453.8   50.932    
0.108558  1623.89   98930.7   819.26    102.807   991.79    1625.24   12931.4   50.6014   
0.105778  41.7248   75031.7   790.51    81.3368   972.377   1243.23   10733.6   54.9984   
0.131323  6263.1    88512.8   778.797   74.9357   923.474   1569.11   11681.5   57.8209   
0.157537  1.46506   84396.2   787.88    87.033    959.81    1413.63   11236.4   106.281   
0.141996  50.7025   88321.8   710.157   91.742    890.974   1211.32   10719.6   100.781   
0.14988   1313.06   87945     815.212   84.6326   933.501   1630.51   10475.9   53.2225   
0.155496  30.5058   88740.7   704.803   100.827   828.626   1635.77   11105     63.5798   
0.173218  53.9287   96902.6   721.468   90.5016   869.46    1369.99   11570.1   116.873   
0.119174  7.93556   92709.6   715.541   83.1974   859.706   1663.83   10742.8   41.4359   
0.11818   41.5195   89857     753.779   101.361   945.053   1245.94   12035     80.7517   
0.100028  77.7598   91568.1   774.314   88.5564   917.996   1141.37   10838.4   42.7355   
0.105996  1761.66   92902.5   816.686   96.6104   939.116   1676.88   12788.4   32.8141   
0.170294  219.03    86818.1   717.169   86.7204   913.639   1530.03   11962.7   138.651   
0.181483  21.5791   91041.2   766.896   90.035    955.564   1198.5    12553.7   202.625   
0.117717  79.4142   74381     778.513   77.2847   944.64    1626.66   11119.2   49.2399   
0.139805  2.38672   96395.5   702.225   88.0925   845.415   1368.18   9860.66   63.2249   
0.176782  278.84    90070.3   746.623   93.8538   881.489   1401.18   12733.9   119.009   
0.192569  0.748197  94569.2   742.165   72.1632   891.246   1610.77   11891.9   127.893   
0.159736  1339.87   83890.2   809.326   86.883    953.753   1658.7    12249.4   84.6663   
0.169769  353.193   102392    741.532   100.485   913.902   1628.53   9776.08   93.0785   
0.135531  1321.08   93047.2   770.33    77.7928   940.243   1243.51   12287.9   95.8629   
0.195086  247.825   98684.9   818.478   94.2801   943.108   1644.4    12973.4   116.239   
0.112781  734.152   86113.6   744.727   107.643   904.472   1247.55   9979.9    50.853    
0.181429  83.4116   79952.7   754.821   86.3851   865.938   1205.28   9687.93   91.5005   
0.162631  919.225   80555.8   797.233   93.3388   901.516   1584.43   11931.4   64.6543   
0.193166  176.48    98702.4   810.609   87.3128   919.411   1669.94   10524.7   79.65     
0.106653  0.228238  102454    743.113   96.4511   940.217   1477.75   10056.3   47.9176   
0.123847  1.54246   85558.7   791.861   88.5963   893.917   1456.95   12741.7   42.9251   
0.137757  1986.09   80475.5   760.213   85.6119   865.294   1570.65   12067.4   47.7423   
0.128314  219.797   85492.4   743.144   106.673   916.817   1501.57   10965.8   65.3286   
0.179823  163.395   86706     752.772   69.8252   866.922   1422.51   12672.3   101.872   
0.157436  571.68    79300.9   810.101   79.9623   959.113   1497.65   12399.6   95.0665   
0.172881  193.539   99673.3   780.216   92.3309   884.232   1355.91   11648.5   83.0924   
0.147334  736.41    85088     717.79    71.7059   861.899   1161.31   12904.9   107.665   
0.107937  151.587   93948.3   800.143   88.1516   961.14    1529.95   11029.4   42.3336   
0.160636  201.934   93395.2   721.483   85.5426   893.107   1295.68   10682     113.692   
0.100024  343.752   90776.4   742.439   98.6738   899.446   1417.17   12055.1   41.8315   
0.112543  3109.99   85438.8   811.292   88.8684   992.001   1444.67   12572.1   62.1812   
0.147492  21.5724   76304.5   796.511   90.7007   983.175   1550.73   9506.56   77.9194   
0.163197  23.8093   103478    780.059   83.7044   905.276   1509.73   11196.8   77.2477   
0.165715  473.686   89941.1   750.344   82.7179   941.097   1553.09   11221.7   117.782   
0.185396  8.80851   94492.5   703.621   90.1736   864.354   1585.09   11871.8   129.279   
0.172637  48.6392   92627.2   709.053   91.3197   816.552   1341.2    11353.8   84.5459   
0.117656  20.3009   87777.6   736.368   82.793    857.131   1355.44   11156.8   43.0755   
0.1167    419.871   80648.4   760.374   89.102    911.337   1652.79   11483.9   44.6834   
0.183416  379.321   85952.5   796.415   94.6038   957.53    1638.73   11439.9   117.754   
0.109477  103.3     87445.7   810.405   84.3091   996.263   1449.61   9928.57   47.771    
0.152109  26.1475   92717.1   736.729   85.385    867.75    1609.18   12593.8   74.1297   
0.116824  134.789   88806     812.133   101.359   953.262   1505.42   10770.2   43.144    
0.193651  455.53    103158    754.513   88.6503   857.613   1450.55   10240     84.7627   
0.172823  278.551   85027.1   738.211   80.658    866.301   1491.6    9508.97   75.9585   
0.158543  39.3332   80280.6   759.348   102.935   913.719   1234.92   11455.1   112.373   
0.176338  79.5159   82963.7   744.431   87.02     853.068   1452.51   10108.3   73.2969   
0.150501  7.41416   95473.1   803.476   87.0173   905.258   1181.27   10389.8   63.4199   
0.170253  1671      102805    733.94    87.5245   838.079   1232.69   10325.9   78.4369   
0.160309  125.683   89658.2   738.849   87.9353   856.91    1569.98   9773.14   58.9768   
0.152552  11151.5   90131.1   785.072   86.1227   891.808   1591.97   11343     55.008    
0.184008  3.89854   91173.1   804.029   103.347   929.953   1462.18   10913.7   99.6052   
0.166345  630.531   65689.9   807.9     79.833    994.056   1135.44   12995.8   182.236   
0.199782  14474.5   103025    813.617   97.3164   914.876   1369.58   12683.1   115.131   
0.107781  158.045   93472     761.356   87.5974   909.559   1487.45   9750.07   35.3413   
0.105212  349.562   84744.8   771.661   94.4782   914.548   1422.33   9501.61   33.0898   
0.120249  2.70152   93350.7   725.413   93.8332   912.851   1139.65   9922.51   73.9798   
0.119025  19.7409   80532.8   747.573   99.2075   882.515   1197.14   10213.1   51.0784   
0.177481  433.391   93170.7   731.071   83.4755   914.064   1198.87   11454.1   170.612   
0.10951   51.6596   90771.9   734.773   77.1623   869.674   1564.3    9588.08   31.0609   
0.19829   273.712   93563.6   775.603   76.9292   939.865   1332.04   12526.7   187.55    
0.149586  10.6059   93522.6   756.422   77.5052   953.685   1296.41   9926.99   105.685   
0.116797  6698.25   85798.6   791.268   95.7792   950.594   1326.01   9671.29   49.5189   
0.155041  20.8998   91912.7   722.094   104.771   864.899   1375.5    12724.2   99.2438   
0.110662  27.4957   81378.7   812.139   92.0454   962.369   1598.24   9591.89   34.6109   
0.183056  124.486   86082.4   704.319   84.5152   844.571   1347.79   12523.4   135.56    
0.102931  748.528   93858.5   760.135   96.1072   861.114   1520.68   11609.2   25.563    
0.194238  149.313   78966.8   729.891   72.2395   845.391   1626.87   10941.8   91.0113   
0.116672  56.835    87374.4   810.414   92.17     972.289   1293.2    11813.1   62.9717   
0.123963  1.13628   87094.7   703.097   89.8827   818.737   1359.45   9637.79   39.5253   
0.118799  71.9905   90240.3   794.121   85.4715   953.151   1536.93   10026.9   45.8427   
0.1275    27.4007   93454.7   765.519   86.7095   874.508   1200.25   11343.4   52.355    
0.174357  874.549   83952.9   785.882   78.3594   912.07    1564.18   11441.4   87.0995   
0.169324  13.6411   89152.7   751.089   83.9551   908.157   1384.42   9511.02   96.6937   
0.132342  288.262   91798.3   701.989   109.181   886.88    1599.1    11847.2   75.0275   
0.10601   208.892   99366.9   731.712   92.7535   889.787   1592.55   11392.6   39.793    
0.18978   127.296   92714     785.73    85.5943   908.365   1317.55   10657.2   111.008   
0.143472  8.78486   90250     805.238   79.1005   939.852   1147.85   10495.2   79.2053   
0.166805  391.497   91280.4   810.772   104.784   975.66    1427.87   11389.9   114.032   
0.143127  26.4029   99786.3   706.872   102.527   830.388   1300.01   12262.1   74.6112   
0.197379  33.8779   80864.2   781.8     85.9311   918.26    1408.13   10198     119.942   
0.162408  780.471   82520.6   780.781   81.7737   936.856   1362.88   11555.7   108.399   
0.10937   3134.59   92032.3   759.082   82.7931   906.941   1302.97   11500.4   48.7233   
0.101975  17.9101   75251.1   790.299   82.4639   914.84    1287.77   10362.9   32.6552   
0.133548  1446.25   83523.1   801.64    88.1735   979.344   1597.41   10361.5   64.1927   
0.184628  72.86     85785.6   709.387   94.2571   839.207   1241.44   12249.7   135.729   
0.121529  3412.96   92642.1   806.813   91.7575   1001.24   1246.16   9782.6    70.3628   
0.162582  43.5747   87648     809.629   94.6875   997.221   1271.74   12533.7   152.355   
0.111235  145.446   94573.6   744.539   98.1126   910.797   1278.69   9534.1    48.0245   
