rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.19367   332.363   91143.6   710.429   93.289    868.498   1120.24   10919.2   178.938   
0.184629  58.1999   86941.8   787.733   85.6742   905.762   1120.41   10831.1   120.851   
0.199211  229.954   91092.5   739.292   91.7239   932.771   1120.21   9901.86   210.382   
0.172261  241.355   90037     720.283   104.15    847.913   1120.41   11747.4   123.414   
0.195686  2113.88   98590.1   773.898   95.6469   951.772   1120.65   11599.1   217.296   
0.193536  2220.28   88678.5   800.633   100.758   919.689   1120.09   12041     147.839   
0.180207  245.551   66823.5   797.346   93.4971   968.469   1120.49   11498.2   176.874   
0.198019  1077.35   94384.9   705.035   93.4619   842.241   1120.88   11432.7   169.276   
0.199413  19.8822   101155    702.58    93.8664   882.105   1120.53   10633.4   210.875   
0.198574  28607.4   90447.7   763.632   103.715   897.361   1120.07   10898.9   157.729   
0.188622  939.389   95763.1   785.143   85.4315   945.664   1120.25   9993.1    157.556   
0.189851  3.84733   83535.3   719.795   94.5189   838.214   1120.46   10987     130.75    
0.196623  7919.68   79748.1   780.237   84.9037   888.836   1120.33   10394     119.688   
0.198197  30.0169   74436.3   756.392   95.2146   952.61    1120.31   12230.4   261.393   
0.190354  3681.08   92191.4   782.686   109.645   947.264   1120.2    12250.1   201.282   
0.180953  519.659   74842     747.293   101.104   914.591   1120.99   10925.5   165.646   
0.191626  7920.15   86988.6   795.401   78.4917   916.605   1120.74   12187.8   148.046   
0.187853  741.717   101152    810.504   92.1325   939.321   1120.91   12188.6   152.654   
0.190382  949.296   99947.4   712.06    104.803   824.739   1120.08   9778.62   110.591   
0.189539  19.2332   78344.8   794.361   76.2289   975.716   1120.12   9968.34   180.403   
0.185105  2303.22   77356.2   803.081   86.5685   931.459   1120.58   9832.84   119.303   
0.19754   11456     93557.9   793.134   76.4024   944.754   1120.45   9511.15   154.114   
0.192063  43.6421   95507.3   749.348   99.9834   881.484   1120.01   12323.3   166.65    
0.197508  3349.13   78818.6   743.273   74.9815   866.363   1120.3    9647.49   127.127   
0.195279  10.1002   88442.1   814.914   99.853    927.919   1120.36   12013.4   144.003   
0.192349  998.526   92678.7   774.927   83.9556   900.374   1120.49   9602.51   122.97    
0.191101  709.359   92299.8   755.127   69.8469   940.272   1121.02   10442.8   193.989   
0.179506  32.9694   87704.4   770.621   87.0539   949.171   1120.42   11476.6   183.326   
0.190329  6.60313   102204    705.873   89.9998   825.519   1120.53   12930.6   155.843   
0.196366  1114.04   94266     767.338   75.9417   914.344   1120.75   11382.7   176.918   
0.199549  515.582   100149    775.211   105.562   931.145   1120.52   9673.89   166.282   
0.199554  36.0478   94623.3   707.199   90.8699   822.484   1120.63   11704.5   148.867   
