sigma_e   rw        r         Tu        Tl        L         Kw        
1.86904   0.156451  37890.7   96287.6   84.2126   1175.89   10554.7   
2.17805   0.177743  39198.4   90006     71.5132   1439.37   10913.4   
1.96915   0.136152  2.26193   89110.8   80.722    1475.55   10168.7   
2.18339   0.161842  34.3726   81494.7   63.0016   1314.71   10176     
2.11113   0.162879  166.7     69993.2   62.4136   1405.91   11595     
2.02757   0.154095  1440.32   75388     72.4571   1412.35   9763.11   
1.88156   0.149692  5291.72   114323    86.4751   1576.15   9510.61   
1.98583   0.152876  49464.6   107350    87.4339   1435.3    12836.1   
2.19999   0.148799  138.042   98373.4   74.9116   1418.53   9722.8    
1.95665   0.153288  2985.83   108500    80.9673   1190.4    11380.5   
2.13452   0.15107   353.334   68344.9   71.0137   1198.18   11270.8   
1.95809   0.164401  989.045   101464    89.3642   1597.66   11127.8   
2.06754   0.146321  14573.7   76360.6   79.5737   1295.76   11756.5   
2.43622   0.144207  19.2412   110564    74.0201   1357.72   9519.05   
2.03112   0.173522  863.322   87588.4   74.8755   1485.26   11513.1   
1.98869   0.163418  113.919   102305    82.7955   1614.55   10273.6   
2.00064   0.169014  24066.5   100018    71.5683   1191.35   12117.9   
1.78161   0.148328  9789.26   89944.8   65.2185   1637.63   10798.9   
1.84487   0.155538  3.5173    66020.8   91.5288   1277.1    11684.6   
2.01653   0.153864  908.671   102051    102.321   1260.62   12853.5   
2.14979   0.15396   10.6027   106776    96.4431   1388.14   12139.1   
1.95848   0.138179  9045.14   78989.3   77.9295   1171.37   10999     
1.93093   0.168026  12.2949   78231.6   101.84    1315.31   11800     
1.9307    0.141654  203.56    86444.2   110.254   1623.67   9588.38   
2.07598   0.134844  151.181   114502    102.152   1617.86   11339.7   
2.03211   0.147927  3.43018   112503    88.0093   1190.4    10012.4   
2.02448   0.154534  778.846   65884.4   91.3284   1410.48   11274.5   
2.09713   0.162459  2799.96   106377    99.2875   1382.45   11403.9   
2.09412   0.147541  139.816   109378    86.8559   1380.71   9579.94   
2.07502   0.166234  0.644684  85823.6   72.2299   1273.07   12416.9   
1.95343   0.155536  0.568488  108266    93.8197   1631.81   10224.7   
2.17911   0.149777  251.834   78281.7   112.119   1671.16   12675.8   
2.03834   0.156058  191.608   85670.7   107.334   1503.07   10992     
2.10424   0.17632   2226.01   81651.9   109.72    1230.31   10041.1   
1.93083   0.15841   348.034   78840.3   90.9048   1314.1    9839.47   
2.18463   0.159081  21.9644   106247    92.7982   1441.05   10988.1   
1.90796   0.152182  24.4747   79292.8   93.9707   1305.48   11087.6   
1.91705   0.168045  2.25104   103460    85.023    1443.36   12333.3   
2.05282   0.164713  895.864   80429.8   83.1462   1368.06   12371     
1.97859   0.150642  217.939   104302    92.5267   1490.87   12653.4   
2.03186   0.151738  5.78468   82327.4   100.236   1273.57   11330.3   
2.09214   0.143791  1.34373   98401     102.271   1544.81   12277.3   
1.9071    0.169202  14802.8   81093.3   102.49    1380.34   10771.9   
1.82229   0.163238  27.0323   105377    114.513   1676.13   12185.9   
2.09764   0.162904  6944.41   104466    88.8766   1640.59   11410.6   
2.15593   0.151495  18281.3   73732.7   87.2492   1471.65   10442.7   
